Element,Can Be Controlled Globally,Should Stay Page-Local,Recommended Control Type,Priority,Notes
App background,"base color, contrast, dark/light values",page-specific extra sections,CSS variables/tokens,Critical,"Must affect all pages at once later"
Content background,"surface color, border color, shadow/no-shadow",page composition,CSS variables/tokens,Critical,"Used by cards and shell"
Sidebar background,"background, border, text color, hover color, active color",whether sidebar exists or page layout,CSS variables/tokens,Critical,"Needs one nav visual system"
Topbar background,"background, border, title text color",whether a page adds custom actions,CSS variables/tokens,High,"No layout variants should be globalized"
Logo mark,"fill/background, border, radius, asset source",exact placement on page,Settings-driven asset + tokens,Medium,"Later control panel item"
Nav section label,"color, font size, weight, letter spacing",which groups exist,Shared nav component props,Medium,"Keep semantic structure local"
Nav link,"text color, hover bg, hover text, active bg, active text, radius",route destination and order,Shared nav link component,Critical,"Should stop inline style drift"
Page title,"color, font size, weight, line-height",exact placement and surrounding page actions,PageHeader + tokens,Critical,"Placement local, visuals global"
Page subtitle,"color, font size, line-height",actual text content,PageHeader + tokens,Critical,"One muted copy style"
Back button/link,"button/link visual style, icon policy",destination and whether shown,Shared action pattern,High,"Likely ghost or outline"
Base card,"surface color, border color, radius, shadow",page grid placement,Card + tokens,Critical,"Should replace .card as source of truth"
Section card,"title style, description style, content surface styling",page section order,SectionCard + Card tokens,High,"No page-specific layout variants"
Stat card,"metric number style, label style, spacing, border/surface",which stats appear,StatCard + tokens,High,"Dashboard + finance style"
Detail field label,"size, weight, color, transform",which fields appear,DetailField + tokens,High,"Likely replace .field-label"
Detail field value,"size, weight, color",actual field content,DetailField + tokens,High,"Likely replace .field-value"
Badge,"colors per variant, border, radius, size, font",which variant a page uses,Badge variants,Critical,"Keep variants small and intentional"
Primary button,"bg, text, border, hover, active, disabled, height, radius",button label and placement,Button variant + theme tokens,Critical,"One strong default"
Secondary button,"bg, border, text, hover, active, disabled, height, radius",button label and placement,Button variant + theme tokens,Critical,"Likely outline/secondary"
Ghost button,"text color, hover background, hover text, height, radius",button label and placement,Button variant + theme tokens,High,"For less emphasis actions"
Destructive button,"bg, text, hover, disabled, height, radius",button label and placement,Button variant + theme tokens,High,"Used sparingly"
Text input,"bg, border, text color, placeholder, focus ring, error border, radius, height",field order/placement,Input + theme tokens,Critical,"Must be single source"
Textarea,"same as input plus min-height behavior",field order/placement,Textarea + theme tokens,Critical,"Should visually match input"
Native select,"bg, border, text color, focus ring, radius, height",when native vs custom select is chosen,Shared field tokens,High,"Needed for simple forms"
Radix select,"trigger bg, border, text, content bg, option hover, option selected, radius, height",where custom select is required,Select + theme tokens,High,"Keep behavior consistent"
Checkbox,"border, fill, check color, focus ring",actual boolean meaning,Checkbox + tokens,Medium,"Needs one visual pattern"
Date input,"same as text input",field order/placement,Input tokens,Medium,"Should not visually drift"
File input,"button look, label, helper text, current-file preview wrapper",what files are accepted,Custom wrapper + tokens,Medium,"Special handling needed"
Field label,"color, size, weight, required marker",actual label text,Label + field wrapper,Critical,"Must also be accessible"
Field help text,"color, size",actual help message,Field wrapper,High,"One rule across forms"
Field error text,"color, size, icon/no-icon",actual validation copy,Field wrapper or Alert,High,"Inline error rule needed"
Compact table,"header style, row height, cell border style, action styling",which columns show,Shared table classes/component,High,"Reference-data lists"
Operational table,"header style, row density, status cell style, border style",which columns, filters, and order show,Shared table classes/component,Critical,"Do not globalize table content rules"
Row action area,"button treatment, visual emphasis",which actions exist and where they sit,Shared pattern,High,"Placement stays module/page-local within reason"
Search/filter bar,"field and action visual styling only",exact filters shown and workflow meaning,Shared filter bar composition,Medium,"Do not globalize business logic UI"
Alert,"variant colors, padding, icon use, title/body hierarchy",actual message,Alert component,Critical,"Already exists"
Empty state,"icon treatment, title, description, action style",whether a page shows empty state,EmptyState + tokens,Medium,"Should replace plain no-data text"
Modal/dialog,"surface, overlay, title/body/action styles",actual dialog content and trigger logic,Modal/alert-dialog,High,"Need one confirmation system"
Section title,"size, weight, color",semantic heading level and placement,CardTitle/Section header tokens,High,"Should replace .section-title"
Body text,"default color and line-height",actual content,Typography tokens,Medium,"Keep readable and calm"
Muted text,"color and emphasis level",actual content,Typography tokens,High,"Too many current variants"
PDF header,"logo styling, company typography, accent color",document content/layout specifics,PDF token mapping,Medium,"Print-specific but brand-aligned"
Appearance control panel,"theme values: shell bg, header bg, primary button color, active button color, field bg, field text, field border, table header bg, table header text, table border, card bg, card border, badge palette, title text color",page-specific composition, module structure, and layout,Admin settings UI backed by theme tokens,Future,"Build only after tokens/components are unified"
